chr,vcf_nm,vcf_drs,csi_nm,csi_drs,consent
chrX,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/c3fbfd00-f6e7-4ae2-82c9-c96d8386380f,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/3c297aa0-a065-48ee-b665-a4e0eefd7400,c1
chr1,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/f0cb889a-8d56-4744-921b-d785a1b957c1,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/08923ec2-5e98-48dc-8c4a-07dbb18f53c9,c1
chr2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/169a6e4c-648c-48f0-a7dc-7cba20e6b3eb,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/1614cb6b-dfb2-446e-bda2-7dad6eb07c84,c1
chr3,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/bb76c67b-e0e2-4635-998a-a3f809cd9aef,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/7d7fa0d8-e510-4a1a-bd9b-bc4a7aed2a29,c1
chr4,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/6b279f83-d82a-4074-963e-e4d12f3a4f57,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/f7710e0a-a852-40ef-bd30-0688f2954d51,c1
chr5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/9b37d7e7-27e8-44e7-bd4d-78d739cfdd51,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/0bdcc977-d4b1-4fd7-9442-3e7a27163df3,c1
chr6,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/96d5fa3c-a6b3-4c5e-91a4-ae64b2a3855d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/82428acd-549b-4460-bf27-749b40d4412d,c1
chr7,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/1e399886-ce33-4cbc-87cc-45c59897a8e5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4df31357-8c0f-4edd-bd5b-99def9ade392,c1
chr8,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/dcbb4d5b-b3f0-4ef5-bcc2-697790915924,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e6e6f13e-715a-48bb-ab61-13aaab452711,c1
chr9,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/b2cb20eb-4553-4038-a25e-81732e9bbfb9,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/9643d0c3-db8a-4688-b071-1d15ef89c2aa,c1
chr10,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/0f38c8da-3a58-49f6-ad2f-505afdd037ce,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/c3c78f9b-8864-43eb-b591-96649eb5c9e1,c1
chr11,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/a1b329fc-bc26-4f47-abce-b0a8eb39f006,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/cf9e5936-68d0-4662-a973-22283b3f6f30,c1
chr12,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/9e4074e4-35bd-4d36-982a-cae635ea44a4,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/eb4fd123-0800-432a-88e9-120b29c45026,c1
