chr,vcf_hmb,vcf_hmb_drs,csi_hmb,csi_hmb_drs,vcf_npu,vcf_npu_drs,csi_npu,csi_npu_drs
chrX,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/c3fbfd00-f6e7-4ae2-82c9-c96d8386380f,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/3c297aa0-a065-48ee-b665-a4e0eefd7400,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/a031c405-9e95-418a-962a-5fb0956984c8,MESA_phs001416_TOPMed_WGS_freeze.10b.chrX.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/aeabe218-d91e-4d9f-9cd4-0b27359135ec
chr1,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/f0cb889a-8d56-4744-921b-d785a1b957c1,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/08923ec2-5e98-48dc-8c4a-07dbb18f53c9,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/5997afd3-7570-4ecc-a46b-fc427e1fe040,MESA_phs001416_TOPMed_WGS_freeze.10b.chr1.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/2cf4b4f0-f652-4cfc-a6db-a726fc5d3587
chr2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/169a6e4c-648c-48f0-a7dc-7cba20e6b3eb,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/1614cb6b-dfb2-446e-bda2-7dad6eb07c84,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/d29a11ea-6bde-4d0a-ae59-04b234e8807d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr2.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/28d3d8e3-282f-4c0a-9aaf-c7290844f23b
chr3,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/bb76c67b-e0e2-4635-998a-a3f809cd9aef,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/7d7fa0d8-e510-4a1a-bd9b-bc4a7aed2a29,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/360f1bf7-9e6b-4693-b35f-4499b5faef06,MESA_phs001416_TOPMed_WGS_freeze.10b.chr3.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/44a7cb42-9366-437d-b883-f7de75e4a5de
chr4,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/6b279f83-d82a-4074-963e-e4d12f3a4f57,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/f7710e0a-a852-40ef-bd30-0688f2954d51,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/de7e65d6-3429-4163-a6e1-815cccfc9906,MESA_phs001416_TOPMed_WGS_freeze.10b.chr4.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/5d1224d3-61b6-4e7c-bf9b-40abab6c0fe2
chr5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/9b37d7e7-27e8-44e7-bd4d-78d739cfdd51,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/0bdcc977-d4b1-4fd7-9442-3e7a27163df3,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f5e15c56-62e7-4aaa-8b65-e85f68e69f97,MESA_phs001416_TOPMed_WGS_freeze.10b.chr5.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/055d7fa9-b7dd-44b2-b066-8eeab12fc732
chr6,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/96d5fa3c-a6b3-4c5e-91a4-ae64b2a3855d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/82428acd-549b-4460-bf27-749b40d4412d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/ea8b3d02-d84f-49dc-9e1b-7af0e9613a07,MESA_phs001416_TOPMed_WGS_freeze.10b.chr6.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/2bbdc877-8e7a-45f3-9844-e61044a7a764
chr7,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/1e399886-ce33-4cbc-87cc-45c59897a8e5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4df31357-8c0f-4edd-bd5b-99def9ade392,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/f2dd8231-65f0-4459-b41a-b4b87c28fe17,MESA_phs001416_TOPMed_WGS_freeze.10b.chr7.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/7ac55a07-b17b-4d77-a8ac-61aeda7b847d
chr8,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/dcbb4d5b-b3f0-4ef5-bcc2-697790915924,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/e6e6f13e-715a-48bb-ab61-13aaab452711,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/3c45c004-712e-454d-8b29-6390ed3de954,MESA_phs001416_TOPMed_WGS_freeze.10b.chr8.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/c39e75be-6b6f-4e8b-ab6c-e184c0215f50
chr9,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/b2cb20eb-4553-4038-a25e-81732e9bbfb9,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/9643d0c3-db8a-4688-b071-1d15ef89c2aa,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/107318d5-1c51-4163-805e-573c7ed6e186,MESA_phs001416_TOPMed_WGS_freeze.10b.chr9.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/bdca5c6c-7394-4c48-9859-46bcb2565818
chr10,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/0f38c8da-3a58-49f6-ad2f-505afdd037ce,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/c3c78f9b-8864-43eb-b591-96649eb5c9e1,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e568cc88-ebfb-4d2b-b7e2-523974a802c8,MESA_phs001416_TOPMed_WGS_freeze.10b.chr10.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/467e47b0-e6f0-4715-bb0c-4f8ce53ef5ad
chr11,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/a1b329fc-bc26-4f47-abce-b0a8eb39f006,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/cf9e5936-68d0-4662-a973-22283b3f6f30,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e1f4f4c0-f4d7-457d-a4b9-78eb5fef1352,MESA_phs001416_TOPMed_WGS_freeze.10b.chr11.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/315c71a0-094a-4f98-9048-b624eea6ad95
chr12,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/9e4074e4-35bd-4d36-982a-cae635ea44a4,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/eb4fd123-0800-432a-88e9-120b29c45026,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/0cd2b6fd-3a68-468f-b7c1-6b18c4a304b5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr12.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/3afd1d74-6ab9-4ac9-9f10-348796313cea
chr13,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/a527e335-7aa6-43a4-8414-3dfa5fc72e7d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/4202053f-08ef-42b1-a94f-544150b5dcac,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/231f7f0c-fadd-4275-899f-c335d45fdfe2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr13.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/6347dd47-9922-439a-96ca-3fad9616a4d5
chr14,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/8191acc9-9731-44b8-b0cb-3c8abb989c2d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/220f10f0-4611-4026-aab4-a558420618aa,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/e04c4d92-60fc-4d6f-a859-3170f13595c2,MESA_phs001416_TOPMed_WGS_freeze.10b.chr14.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/b32a6f00-2351-4464-8c5c-11bb9c328096
chr15,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/d38fade3-5114-4c40-8fe5-18606957eaac,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/d3b44803-ef52-4d32-89a5-13261f0cbfe5,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/5bf1b9df-87f2-485a-be88-cf042a730803,MESA_phs001416_TOPMed_WGS_freeze.10b.chr15.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/657c997e-d092-4b57-ae01-331ad01f7070
chr16,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz,drs://dg.4503:dg.4503/2176d216-9fff-400b-a117-6e54e05103ca,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c1.vcf.gz.csi,drs://dg.4503:dg.4503/02114a4a-bb34-4791-bffd-cde780c56c47,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz,drs://dg.4503:dg.4503/c3422c7e-ef61-40f3-87ef-6fdd9a567e6d,MESA_phs001416_TOPMed_WGS_freeze.10b.chr16.hg38.c2.vcf.gz.csi,drs://dg.4503:dg.4503/458dd2d5-ac72-4cb9-a770-3a39db6732a5
